nome_completo,data_nascimento,idade,rg,cpf,uf_atendimento,data_atendimento,modo_chegada,historico_comorbidades,pressao_sistolica,pressao_diastolica,frequencia_cardiaca,frequencia_respiratoria,temperatura_celsius,spo2_porcento,taxa_hesitacao_porcento,instabilidade_emocional_vocal_porcento,diagnostico_realizado,houve_internacao,urgencia_critica
Levi Campos,1963-06-21,63,018253672,934.875.210-32,RR,2025-12-11 06:07:32,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,119,117,104,22,36.7,100,21.66,82.53,Mialgia (Dor Muscular),0,0
Leandro Camargo,1938-05-10,88,504718629,843.921.706-40,MG,2025-11-29 08:12:56,Acompanhada por familiares apresentando dispneia leve.,Diabetes,162,75,108,16,37.1,96,48.41,55.37,Cefaleia Tensional,0,0
Marcelo Sales,1984-10-11,41,102768535,801.627.534-62,MT,2026-07-16 09:19:53,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,154,75,88,13,35.6,100,32.31,8.52,Cefaleia Tensional,0,0
Thomas Gomes,1986-08-07,40,684201379,962.805.147-49,CE,2025-12-07 07:56:54,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,128,81,124,13,36.5,98,92.4,36.44,Trauma Físico Severo,1,1
Cecilia Oliveira,1960-03-25,66,812473565,029.754.138-23,CE,2025-12-09 05:34:24,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,120,96,90,19,36.3,99,44.01,8.64,Crise de Ansiedade,0,0
Mariana Cirino,1994-05-12,32,584017236,017.842.536-26,PR,2026-06-21 13:25:21,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,122,57,49,15,36.6,100,41.01,31.13,Cefaleia Tensional,0,0
Zoe Sales,1998-01-17,28,164235802,590.274.861-58,CE,2026-05-24 19:56:10,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,132,50,94,26,36.1,99,62.59,25.88,Mialgia (Dor Muscular),1,0
Emanuella Novais,1992-12-20,33,784206533,614.835.972-37,AL,2025-12-20 19:57:35,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,99,71,91,25,37.5,100,8.11,38.86,Cefaleia Tensional,1,0
Samuel da Paz,1965-06-15,61,276503843,367.950.284-29,MA,2026-03-02 20:41:18,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,114,55,69,21,36.6,95,75.67,83.73,Cefaleia Tensional,0,0
Francisco Dias,1960-09-14,66,713052685,108.759.346-84,ES,2026-03-21 03:48:31,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,86,73,99,12,35.8,100,76.84,15.04,Crise de Ansiedade,0,0
Ana Júlia Fogaça,2004-07-24,22,680743121,357.248.619-09,PE,2026-06-10 07:55:16,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,127,87,43,14,37.2,99,47.4,30.61,Crise de Ansiedade,0,0
Ryan Carvalho,1988-03-23,38,53816704X,259.371.048-97,RO,2026-03-14 19:29:39,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,132,66,109,24,35.5,97,95.57,26.11,Refluxo Gastroesofágico,0,0
Matheus Novais,1976-01-20,50,056821372,910.283.546-06,AP,2025-10-26 04:33:03,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,110,58,63,15,37.5,100,57.93,29.61,Mialgia (Dor Muscular),0,0
Sabrina Jesus,1971-06-01,55,457802133,563.178.204-90,MA,2025-10-24 13:38:12,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,151,81,60,23,37.3,100,69.52,36.06,Cefaleia Tensional,0,0
Rebeca Leão,1955-03-13,71,72481503X,891.405.632-51,AP,2026-03-29 00:25:56,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,95,92,82,20,37.6,92,92.43,24.43,Trauma Físico Severo,0,1
Sra. Rebeca Cavalcante,2002-05-28,24,827134605,420.671.398-78,BA,2025-11-19 08:15:43,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,90,54,95,18,36.4,93,66.63,94.26,Crise de Ansiedade,0,0
Arthur Vieira,2002-10-20,23,176532407,068.124.573-53,AP,2026-08-08 05:37:18,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,124,92,89,14,36.1,100,43.18,42.01,Refluxo Gastroesofágico,0,0
João Vitor Andrade,1941-12-01,84,154236780,491.078.235-41,GO,2025-09-26 05:17:32,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,140,92,66,17,36.6,98,2.48,11.41,Refluxo Gastroesofágico,0,0
Henry Gabriel Nascimento,1984-05-13,42,306175289,217.583.940-05,MS,2026-06-23 10:49:03,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,153,94,72,18,36.4,97,72.83,46.77,Cefaleia Tensional,1,0
Enzo Gabriel Vasconcelos,1958-12-27,67,326815478,140.562.387-07,MT,2025-09-25 08:20:15,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,110,98,56,23,36.0,96,96.49,18.44,Refluxo Gastroesofágico,0,0
Sabrina Novaes,1972-11-14,53,832605748,367.098.521-21,PA,2026-01-31 07:38:00,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,141,113,79,13,36.1,100,47.02,21.61,Crise de Ansiedade,0,0
Brenda Oliveira,1944-01-07,82,25148760X,981.573.620-59,PA,2026-07-19 01:47:49,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,119,74,111,16,36.2,100,33.98,28.5,Crise de Ansiedade,0,0
João Felipe Vasconcelos,1994-11-30,31,306481753,741.265.089-02,MA,2026-05-02 22:08:16,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,116,81,84,18,35.6,94,51.93,12.48,Cefaleia Tensional,0,0
Maria Clara Nogueira,1994-08-02,32,205314685,398.045.762-10,GO,2026-07-05 12:26:07,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,137,73,106,21,37.0,96,72.84,72.11,Crise de Ansiedade,0,0
Pedro Lucas Nogueira,1943-07-18,83,785062415,824.617.930-69,TO,2026-07-29 22:58:05,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,133,80,121,13,36.5,95,0.07,79.19,Refluxo Gastroesofágico,0,0
Otávio Caldeira,1941-02-28,85,275431083,704.931.265-70,SC,2025-11-27 14:22:41,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,88,102,70,11,36.3,99,88.72,39.43,Mialgia (Dor Muscular),0,0
Dra. Isadora da Rosa,1962-12-27,63,078164357,634.829.571-00,MS,2025-12-08 02:37:22,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,149,59,80,21,35.6,100,88.64,68.9,Cefaleia Tensional,0,0
Rael da Luz,1946-12-21,79,238567047,513.069.487-20,PR,2026-06-13 08:15:28,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,147,67,139,10,35.6,100,54.13,38.9,Trauma Físico Severo,1,1
Sr. Pedro Lucas Campos,1994-03-28,32,576834014,218.946.035-24,RO,2025-10-16 21:09:59,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,107,100,121,24,38.0,100,12.24,16.41,Refluxo Gastroesofágico,0,0
Gustavo Henrique Sousa,1992-08-02,34,170325842,689.304.152-70,PB,2026-07-03 11:25:40,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,127,95,43,17,36.0,100,67.18,39.72,Cefaleia Tensional,0,0
Marcela Santos,1998-10-12,27,673208540,351.074.296-61,BA,2025-12-09 05:20:06,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,129,74,94,10,37.0,94,13.78,55.7,Cefaleia Tensional,0,0
Mariane Cavalcante,1936-06-07,90,346207514,254.789.610-94,AL,2026-04-10 22:31:30,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,125,92,85,15,36.6,93,50.75,4.1,Crise de Ansiedade,0,0
Cecilia Viana,1936-09-16,90,286713548,317.940.562-70,AC,2025-11-25 21:55:05,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,108,85,105,19,34.3,100,9.36,65.45,Cefaleia Tensional,0,0
Gustavo Araújo,1994-08-22,32,374156025,247.031.695-25,PI,2026-02-05 21:06:41,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,106,102,66,15,37.9,97,58.91,74.26,Crise de Ansiedade,0,0
Marcela Nascimento,1999-04-02,27,438507617,419.863.257-09,AC,2026-01-23 15:45:42,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,119,81,64,18,37.0,91,31.81,86.0,Crise Hipertensiva Severa,1,1
Vitor Gabriel Cavalcante,1980-10-20,45,475130868,549.670.382-47,TO,2025-11-12 23:54:24,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,143,95,68,21,35.9,95,83.1,10.28,Cefaleia Tensional,0,0
Dr. João Vitor Oliveira,1947-02-19,79,710264355,016.257.384-71,MS,2026-08-29 15:40:51,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,130,119,70,16,36.5,98,79.99,0.01,Mialgia (Dor Muscular),0,0
Théo Rocha,1981-06-09,45,623054814,781.624.095-30,AC,2026-05-17 12:13:10,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,112,88,105,13,35.6,94,99.85,7.33,Refluxo Gastroesofágico,0,0
Davi Luiz Sá,1999-05-04,27,538276411,591.637.840-84,RO,2026-03-04 05:11:16,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,135,80,55,16,38.0,92,25.75,92.41,Insuficiência Respiratória,1,1
Ana Liz da Mota,1969-05-13,57,831256746,136.078.592-21,PE,2026-07-02 14:01:49,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,70,90,69,25,35.8,96,6.18,76.56,Cefaleia Tensional,0,0
Carolina Sampaio,1999-06-28,27,120743863,298.457.603-92,AL,2025-12-03 17:02:25,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,142,74,40,26,36.1,92,44.3,83.54,Crise Hipertensiva Severa,1,1
Josué Casa Grande,1993-02-12,33,461583276,965.032.487-92,GO,2026-01-03 17:14:08,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,85,115,110,10,35.9,99,8.34,51.7,Refluxo Gastroesofágico,0,0
Sra. Isadora Teixeira,1943-06-15,83,436105871,540.782.196-67,MS,2026-06-23 10:42:51,Acompanhada por familiares apresentando dispneia leve.,Diabetes,112,82,116,23,36.6,89,17.85,52.67,Insuficiência Respiratória,1,1
Maria Júlia Mendonça,1944-08-19,82,263814750,942.038.576-00,PI,2026-05-16 18:55:03,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,97,75,76,19,37.6,97,59.73,29.85,Cefaleia Tensional,0,0
João Felipe Pires,1987-02-18,39,852413609,907.465.318-93,RN,2026-08-21 18:38:56,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,94,67,77,22,37.9,99,59.21,84.28,Cefaleia Tensional,0,0
Maria Flor Machado,1950-04-18,76,407615283,318.490.526-89,MS,2026-03-17 14:44:42,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,143,96,96,15,36.2,96,4.33,82.98,Mialgia (Dor Muscular),0,0
Caleb Guerra,1990-03-12,36,012538747,574.980.316-39,GO,2026-01-16 05:03:18,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,110,93,121,10,36.8,100,44.29,39.22,Crise Hipertensiva Severa,1,1
Lara Sales,1941-08-26,85,052173847,659.304.712-07,BA,2026-06-13 18:37:44,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,126,72,95,20,36.6,91,53.02,32.93,Trauma Físico Severo,1,1
Dr. Ryan Duarte,1942-06-04,84,305614824,895.073.162-21,PE,2025-12-18 21:06:22,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,119,88,67,13,35.7,94,26.8,73.84,Refluxo Gastroesofágico,0,0
Agatha Vasconcelos,2005-03-07,21,364510821,852.947.361-28,MT,2026-03-17 07:11:13,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,129,57,44,11,38.4,95,87.2,2.62,Mialgia (Dor Muscular),0,0
Srta. Natália Porto,1936-01-04,90,084761532,015.279.648-76,CE,2026-05-04 11:12:10,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,121,82,57,11,37.6,99,16.11,85.99,Mialgia (Dor Muscular),0,0
Maria Alice Azevedo,1993-07-08,33,815026341,895.064.731-10,DF,2025-12-04 18:05:57,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,94,86,86,21,36.7,97,25.39,44.62,Refluxo Gastroesofágico,0,0
Maria Laura Cunha,1952-09-28,74,54027186X,789.124.056-67,AP,2026-07-23 08:20:03,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,139,105,68,18,37.8,100,15.7,44.13,Crise de Ansiedade,0,0
Hadassa Monteiro,1939-05-19,87,302518460,146.735.290-06,MT,2026-07-06 13:01:41,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,110,68,89,21,37.5,93,11.65,66.91,Refluxo Gastroesofágico,0,0
Lorenzo da Paz,1941-07-11,85,136758204,654.018.937-01,PI,2026-01-29 14:37:01,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,88,60,71,21,36.6,91,87.9,64.57,Crise Hipertensiva Severa,1,1
Sr. Ryan Viana,1959-02-13,67,817630521,263.457.910-16,RJ,2026-06-17 23:35:51,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,111,66,58,15,36.8,100,27.79,26.6,Crise de Ansiedade,0,0
Sr. Augusto Brito,1974-05-16,52,746302587,357.068.921-21,RN,2026-05-11 00:05:15,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,150,59,55,17,37.7,91,72.25,94.33,Infarto Agudo do Miocárdio,1,1
Natália Almeida,1970-06-25,56,180247566,512.897.034-50,PE,2026-03-08 22:50:50,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,137,100,124,15,35.7,99,42.8,98.63,Infarto Agudo do Miocárdio,1,1
Emanuel Macedo,1950-02-17,76,063147257,873.014.652-62,DF,2025-10-13 19:40:54,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,113,103,107,16,37.8,93,63.59,52.6,Mialgia (Dor Muscular),0,0
Agatha Lima,2007-11-07,18,214608578,604.873.125-62,RO,2026-02-18 11:19:10,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,113,84,128,13,36.3,88,92.82,56.14,Insuficiência Respiratória,1,1
Davi Lucca Rezende,1979-12-05,46,378520465,298.746.135-64,BA,2025-10-04 22:00:17,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,113,98,98,19,37.7,95,84.46,55.43,Crise de Ansiedade,0,0
Emanuel da Mota,1949-04-24,77,673805128,210.546.973-61,BA,2026-03-12 19:12:44,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,161,82,74,23,36.5,100,6.9,48.58,Refluxo Gastroesofágico,0,0
Luiz Miguel da Cunha,1956-10-03,70,237168042,729.610.358-21,MA,2025-11-18 07:06:58,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,127,78,118,13,36.8,92,84.52,94.52,Insuficiência Respiratória,1,1
Marcelo Rios,1985-02-02,41,623814055,540.283.176-90,CE,2025-12-20 15:40:09,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,128,75,84,24,36.5,99,45.18,24.48,Refluxo Gastroesofágico,0,0
Eloah Aragão,1998-11-16,27,68345027X,753.928.046-83,PI,2026-04-04 23:58:13,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,140,75,90,18,36.1,100,35.01,10.8,Cefaleia Tensional,0,0
Lorena Silveira,1940-03-14,86,76032184X,062.478.913-69,GO,2025-12-08 00:19:53,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,124,56,83,19,36.3,91,67.24,92.95,Trauma Físico Severo,1,1
Srta. Mariane Rezende,1949-03-24,77,748612300,467.192.830-22,RJ,2026-04-25 00:01:39,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,114,83,40,10,37.6,96,95.02,21.3,Crise de Ansiedade,0,0
Calebe Abreu,1936-03-10,90,258437108,916.783.045-57,PB,2026-03-17 00:30:02,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,116,79,125,10,34.6,100,9.41,74.92,Crise de Ansiedade,0,0
Rhavi Barbosa,1948-07-25,78,654372081,720.154.693-70,DF,2026-02-24 01:01:09,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,118,91,97,18,35.5,99,76.81,20.39,Cefaleia Tensional,1,0
Henry Gabriel Moreira,1950-03-01,76,857402638,970.643.582-47,PI,2026-05-09 12:54:59,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,119,81,93,21,35.9,95,20.35,96.02,Crise de Ansiedade,1,0
Melina Albuquerque,1946-03-26,80,416305726,524.918.703-04,MG,2025-10-28 19:12:15,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,134,77,83,14,35.6,98,38.01,79.11,Cefaleia Tensional,0,0
Luigi Campos,1975-04-18,51,834012674,023.619.475-52,PA,2025-11-03 17:27:36,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,121,66,89,26,37.7,94,87.38,91.87,Crise de Ansiedade,0,0
Caroline Mendes,2006-09-27,20,170562384,740.981.235-41,MG,2026-08-11 06:06:00,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,134,81,70,21,37.5,100,54.58,95.1,Refluxo Gastroesofágico,0,0
Ian Gomes,1986-10-29,39,086527344,270.645.189-02,AP,2025-10-28 14:54:17,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,118,91,100,13,37.0,100,6.75,8.44,Refluxo Gastroesofágico,0,0
Cauã Caldeira,1987-01-15,39,487513265,803.621.947-69,PA,2026-07-02 05:13:34,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,121,62,52,18,36.0,97,50.8,43.34,Crise de Ansiedade,0,0
Dr. Kaique Carvalho,1941-04-05,85,570816324,483.025.967-10,SP,2025-12-23 09:06:58,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,80,81,89,30,37.6,97,78.96,64.81,Refluxo Gastroesofágico,0,0
Catarina Ramos,1949-05-20,77,018572364,756.429.081-11,AC,2026-02-10 16:48:46,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,138,83,99,11,35.2,93,52.89,80.25,Mialgia (Dor Muscular),0,0
Cecília Azevedo,1959-03-11,67,167503844,489.356.270-38,AP,2026-06-11 05:40:16,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,126,69,80,20,38.2,91,16.69,24.15,Infarto Agudo do Miocárdio,1,1
Alexia Pimenta,2008-02-23,18,065742837,239.648.701-96,AL,2026-05-03 05:30:19,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,139,71,94,16,36.0,95,44.5,91.46,Cefaleia Tensional,0,0
Eloah Macedo,1947-08-02,79,236175087,046.239.518-98,PB,2026-01-03 12:22:40,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,70,83,60,21,36.3,96,92.43,22.1,Crise de Ansiedade,0,0
Sr. Dom Jesus,1982-02-08,44,620831571,654.038.971-00,RN,2026-07-03 04:46:59,Acompanhada por familiares apresentando dispneia leve.,Diabetes,161,62,60,24,36.2,100,65.82,86.62,Mialgia (Dor Muscular),0,0
Melina Cunha,1978-12-20,47,42356187X,501.836.497-10,MA,2025-11-19 13:27:41,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,117,85,90,16,35.6,100,72.99,51.27,Refluxo Gastroesofágico,0,0
Carlos Eduardo Carvalho,1979-08-23,47,537820413,189.053.672-59,RO,2026-03-07 15:12:55,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,142,66,101,23,38.0,97,78.59,51.54,Cefaleia Tensional,0,0
Matheus Ferreira,1972-09-18,54,716524831,210.436.857-07,SC,2026-09-06 15:02:22,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,99,95,40,29,37.1,100,9.07,37.4,Cefaleia Tensional,0,0
Luara Vieira,1956-07-24,70,672034517,164.390.578-39,MS,2026-04-16 00:55:33,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,132,115,98,18,37.5,93,58.15,10.35,Mialgia (Dor Muscular),0,0
Josué da Mota,1966-11-12,59,482167300,314.067.892-40,AC,2025-10-22 23:01:04,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,98,67,71,21,35.5,100,37.59,34.71,Cefaleia Tensional,0,0
Antonella da Cruz,1995-12-01,30,46538710X,325.780.619-12,RN,2026-08-05 06:14:48,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,107,88,80,15,36.6,93,13.92,42.67,Cefaleia Tensional,0,0
Larissa Vasconcelos,1989-06-01,37,436281570,426.503.198-60,RS,2026-01-12 20:48:35,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,158,69,51,18,36.9,100,20.27,47.9,Cefaleia Tensional,0,0
Srta. Liz Costela,1974-06-17,52,865134078,273.045.861-17,PI,2025-12-16 05:46:02,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,116,95,63,17,36.7,96,78.12,73.91,Crise de Ansiedade,0,0
Sophia Correia,1983-07-14,43,647218033,048.319.562-60,TO,2026-02-17 03:44:56,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,124,61,109,21,35.6,89,16.15,35.21,Insuficiência Respiratória,1,1
Sra. Laís Ramos,2006-05-28,20,754302684,457.098.621-85,MS,2025-11-03 07:38:26,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,137,87,85,24,37.4,99,31.24,40.66,Cefaleia Tensional,0,0
Isaque Monteiro,1954-02-06,72,635824012,734.510.298-04,GO,2025-11-02 23:32:56,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,129,66,75,17,36.6,100,28.49,90.61,Crise de Ansiedade,0,0
Brenda da Costa,1990-10-17,35,502764818,140.358.769-84,RN,2026-08-02 04:05:31,Acompanhada por familiares apresentando dispneia leve.,Asma,123,76,82,25,35.7,95,4.86,75.26,Cefaleia Tensional,1,0
Ana Sophia Moura,1940-06-12,86,024736855,642.980.357-00,RJ,2025-10-14 08:10:10,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,127,64,97,25,35.0,95,46.22,2.29,Refluxo Gastroesofágico,0,0
Luiz Miguel Dias,1940-04-24,86,071264589,834.190.625-24,AP,2026-09-10 15:45:08,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,168,92,96,22,37.0,96,76.59,81.21,Cefaleia Tensional,0,0
Mathias Nunes,1960-11-09,65,781536248,247.039.168-78,MS,2026-03-22 02:41:58,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,118,67,83,15,38.5,89,2.22,98.99,Insuficiência Respiratória,1,1
Maria Clara Nogueira,1989-03-26,37,457601280,571.392.068-21,PR,2026-09-21 00:16:59,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,124,88,112,14,35.7,87,11.26,93.98,Infarto Agudo do Miocárdio,1,1
Emanuella Teixeira,1980-12-23,45,168245073,852.706.143-08,RN,2026-02-03 04:55:48,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,141,74,109,13,36.6,100,72.02,83.6,Crise de Ansiedade,0,0
Ana Sophia Almeida,1995-06-04,31,025687141,564.381.902-33,SC,2026-04-07 21:03:20,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,142,78,95,22,37.4,93,59.36,62.92,Crise de Ansiedade,0,0
Ana Lívia Albuquerque,1941-07-25,85,218765046,120.395.846-33,MS,2025-10-23 09:10:01,Acompanhada por familiares apresentando dispneia leve.,Diabetes,143,82,86,11,35.5,100,71.52,27.82,Crise de Ansiedade,0,0
Henrique Aparecida,1991-07-14,35,746518328,974.832.516-46,MG,2026-02-21 23:35:35,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,132,68,101,21,36.1,100,23.01,65.44,Mialgia (Dor Muscular),0,0
Miguel Montenegro,1988-01-03,38,316504828,649.537.812-28,SE,2026-03-24 17:30:19,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,97,83,92,12,35.8,100,80.38,69.56,Cefaleia Tensional,1,0
Theodoro Vargas,1936-08-08,90,502136789,413.259.086-06,AP,2026-01-13 20:22:36,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,152,102,111,22,37.3,94,47.99,28.16,Crise de Ansiedade,0,0
Mariana Sampaio,1990-01-23,36,428351761,032.715.946-43,RJ,2025-11-10 20:18:49,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,97,68,107,18,37.6,90,61.03,25.53,Infarto Agudo do Miocárdio,1,1
Antonella Porto,1942-03-03,84,104238574,532.697.480-00,MT,2026-06-15 17:52:07,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,126,97,59,24,36.6,92,9.22,39.69,Insuficiência Respiratória,1,1
Zoe Pimenta,1978-08-31,48,85267014X,146.075.238-44,PR,2026-02-05 06:22:05,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,104,102,57,23,35.8,95,20.5,64.11,Mialgia (Dor Muscular),0,0
João Lucas Barros,2002-08-16,24,014728357,508.247.136-80,CE,2025-10-29 12:12:40,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,118,67,67,25,36.1,87,77.34,29.31,Crise Hipertensiva Severa,1,1
Bruno Moraes,1962-02-12,64,456271831,146.802.573-26,AM,2026-04-26 06:03:38,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,126,58,109,25,36.0,95,22.39,55.57,Refluxo Gastroesofágico,0,0
Eduardo Nascimento,1985-06-13,41,061378422,765.143.098-01,SP,2026-07-19 21:45:18,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,126,84,45,18,35.7,96,9.25,89.92,Refluxo Gastroesofágico,0,0
Dr. Benício das Neves,1985-03-28,41,387260456,783.620.459-65,RR,2026-03-08 07:21:07,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,128,71,94,12,36.4,91,59.72,29.51,Insuficiência Respiratória,1,1
Sra. Isabella Araújo,1940-07-15,86,572318406,750.429.138-23,SP,2026-02-20 22:33:32,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,152,108,94,12,37.0,92,54.79,96.6,Insuficiência Respiratória,1,1
Caio Lopes,1954-11-20,71,26048751X,513.720.896-59,SE,2026-01-24 12:55:47,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,129,80,114,10,36.9,96,60.79,47.33,Mialgia (Dor Muscular),0,0
Rafael Pimenta,1997-01-11,29,620458136,290.564.831-70,PR,2026-06-12 06:37:57,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,115,67,89,12,36.5,98,61.83,10.09,Crise de Ansiedade,0,0
Ana Laura das Neves,1968-08-20,58,168072543,031.759.268-86,PE,2025-11-16 18:31:22,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,139,62,51,18,36.5,93,50.02,5.5,Crise de Ansiedade,0,0
